source_id,question,notes,answered,answered_pct,abstained,empty,missing_key
agamben-2005-b22edc40e0fc,about,53,53,100.0,0,0,0
agamben-2005-b22edc40e0fc,arguing_against,53,46,86.8,0,7,0
agamben-2005-b22edc40e0fc,assumes,53,48,90.6,5,0,0
agamben-2005-b22edc40e0fc,citations,53,49,92.5,0,4,0
agamben-2005-b22edc40e0fc,claim,53,53,100.0,0,0,0
agamben-2005-b22edc40e0fc,comparison,53,48,90.6,5,0,0
agamben-2005-b22edc40e0fc,concedes,53,48,90.6,5,0,0
agamben-2005-b22edc40e0fc,defines,53,42,79.2,0,11,0
agamben-2005-b22edc40e0fc,evidence,53,48,90.6,5,0,0
agamben-2005-b22edc40e0fc,mechanism,53,48,90.6,5,0,0
agamben-2005-b22edc40e0fc,move,53,53,100.0,0,0,0
agamben-2005-b22edc40e0fc,names,53,53,100.0,0,0,0
agamben-2005-b22edc40e0fc,position,53,49,92.5,4,0,0
agamben-2005-b22edc40e0fc,position_of,53,47,88.7,6,0,0
agamben-2005-b22edc40e0fc,ranges_over,53,50,94.3,3,0,0
agamben-2005-b22edc40e0fc,stops_holding,53,10,18.9,43,0,0
agamben-2005-b22edc40e0fc,uses,53,52,98.1,0,1,0
ayubi-1995-16fd6a2e503f,about,317,317,100.0,0,0,0
ayubi-1995-16fd6a2e503f,arguing_against,317,261,82.3,7,49,0
ayubi-1995-16fd6a2e503f,assumes,317,295,93.1,22,0,0
ayubi-1995-16fd6a2e503f,citations,317,308,97.2,0,9,0
ayubi-1995-16fd6a2e503f,claim,317,315,99.4,2,0,0
ayubi-1995-16fd6a2e503f,comparison,317,313,98.7,4,0,0
ayubi-1995-16fd6a2e503f,concedes,317,313,98.7,4,0,0
ayubi-1995-16fd6a2e503f,defines,317,207,65.3,7,103,0
ayubi-1995-16fd6a2e503f,evidence,317,310,97.8,7,0,0
ayubi-1995-16fd6a2e503f,mechanism,317,310,97.8,7,0,0
ayubi-1995-16fd6a2e503f,move,317,315,99.4,2,0,0
ayubi-1995-16fd6a2e503f,names,317,317,100.0,0,0,0
ayubi-1995-16fd6a2e503f,position,317,315,99.4,2,0,0
ayubi-1995-16fd6a2e503f,position_of,317,277,87.4,40,0,0
ayubi-1995-16fd6a2e503f,ranges_over,317,315,99.4,2,0,0
ayubi-1995-16fd6a2e503f,stops_holding,317,130,41.0,187,0,0
ayubi-1995-16fd6a2e503f,uses,317,317,100.0,0,0,0
batatu-1999-598624067df3,about,237,237,100.0,0,0,0
batatu-1999-598624067df3,arguing_against,237,126,53.2,27,84,0
batatu-1999-598624067df3,assumes,237,182,76.8,55,0,0
batatu-1999-598624067df3,citations,237,220,92.8,5,12,0
batatu-1999-598624067df3,claim,237,231,97.5,6,0,0
batatu-1999-598624067df3,comparison,237,190,80.2,47,0,0
batatu-1999-598624067df3,concedes,237,200,84.4,37,0,0
batatu-1999-598624067df3,defines,237,81,34.2,13,143,0
batatu-1999-598624067df3,evidence,237,225,94.9,12,0,0
batatu-1999-598624067df3,mechanism,237,186,78.5,51,0,0
batatu-1999-598624067df3,move,237,236,99.6,1,0,0
batatu-1999-598624067df3,names,237,237,100.0,0,0,0
batatu-1999-598624067df3,position,237,187,78.9,50,0,0
batatu-1999-598624067df3,position_of,237,155,65.4,82,0,0
batatu-1999-598624067df3,ranges_over,237,224,94.5,13,0,0
batatu-1999-598624067df3,stops_holding,237,92,38.8,145,0,0
batatu-1999-598624067df3,uses,237,237,100.0,0,0,0
bayat-2017-ce6bb0643cfb,about,122,122,100.0,0,0,0
bayat-2017-ce6bb0643cfb,arguing_against,122,101,82.8,3,18,0
bayat-2017-ce6bb0643cfb,assumes,122,112,91.8,10,0,0
bayat-2017-ce6bb0643cfb,citations,122,107,87.7,4,11,0
bayat-2017-ce6bb0643cfb,claim,122,120,98.4,2,0,0
bayat-2017-ce6bb0643cfb,comparison,122,112,91.8,10,0,0
bayat-2017-ce6bb0643cfb,concedes,122,111,91.0,11,0,0
bayat-2017-ce6bb0643cfb,defines,122,68,55.7,13,41,0
bayat-2017-ce6bb0643cfb,evidence,122,116,95.1,6,0,0
bayat-2017-ce6bb0643cfb,mechanism,122,110,90.2,12,0,0
bayat-2017-ce6bb0643cfb,move,122,122,100.0,0,0,0
bayat-2017-ce6bb0643cfb,names,122,122,100.0,0,0,0
bayat-2017-ce6bb0643cfb,position,122,115,94.3,7,0,0
bayat-2017-ce6bb0643cfb,position_of,122,104,85.2,18,0,0
bayat-2017-ce6bb0643cfb,ranges_over,122,120,98.4,2,0,0
bayat-2017-ce6bb0643cfb,stops_holding,122,47,38.5,75,0,0
bayat-2017-ce6bb0643cfb,uses,122,122,100.0,0,0,0
beshara-2011-8410a9059300,about,290,288,99.3,1,1,0
beshara-2011-8410a9059300,arguing_against,290,190,65.5,30,70,0
beshara-2011-8410a9059300,assumes,290,244,84.1,46,0,0
beshara-2011-8410a9059300,citations,290,246,84.8,15,29,0
beshara-2011-8410a9059300,claim,290,280,96.6,10,0,0
beshara-2011-8410a9059300,comparison,290,237,81.7,53,0,0
beshara-2011-8410a9059300,concedes,290,242,83.4,48,0,0
beshara-2011-8410a9059300,defines,290,115,39.7,19,156,0
beshara-2011-8410a9059300,evidence,290,248,85.5,42,0,0
beshara-2011-8410a9059300,mechanism,290,230,79.3,60,0,0
beshara-2011-8410a9059300,move,290,281,96.9,9,0,0
beshara-2011-8410a9059300,names,290,289,99.7,0,1,0
beshara-2011-8410a9059300,position,290,243,83.8,47,0,0
beshara-2011-8410a9059300,position_of,290,215,74.1,75,0,0
beshara-2011-8410a9059300,ranges_over,290,272,93.8,18,0,0
beshara-2011-8410a9059300,stops_holding,290,79,27.2,211,0,0
beshara-2011-8410a9059300,uses,290,282,97.2,3,5,0
caspersen-2012-fbc0efe4fffc,about,115,115,100.0,0,0,0
caspersen-2012-fbc0efe4fffc,arguing_against,115,84,73.0,4,27,0
caspersen-2012-fbc0efe4fffc,assumes,115,95,82.6,20,0,0
caspersen-2012-fbc0efe4fffc,citations,115,100,87.0,5,10,0
caspersen-2012-fbc0efe4fffc,claim,115,113,98.3,2,0,0
caspersen-2012-fbc0efe4fffc,comparison,115,98,85.2,17,0,0
caspersen-2012-fbc0efe4fffc,concedes,115,103,89.6,12,0,0
caspersen-2012-fbc0efe4fffc,defines,115,28,24.3,5,82,0
caspersen-2012-fbc0efe4fffc,evidence,115,101,87.8,14,0,0
caspersen-2012-fbc0efe4fffc,mechanism,115,92,80.0,23,0,0
caspersen-2012-fbc0efe4fffc,move,115,115,100.0,0,0,0
caspersen-2012-fbc0efe4fffc,names,115,114,99.1,0,1,0
caspersen-2012-fbc0efe4fffc,position,115,96,83.5,19,0,0
caspersen-2012-fbc0efe4fffc,position_of,115,91,79.1,24,0,0
caspersen-2012-fbc0efe4fffc,ranges_over,115,105,91.3,10,0,0
caspersen-2012-fbc0efe4fffc,stops_holding,115,64,55.7,51,0,0
caspersen-2012-fbc0efe4fffc,uses,115,115,100.0,0,0,0
chouliaraki-2024-91e7fc84f05c,about,127,127,100.0,0,0,0
chouliaraki-2024-91e7fc84f05c,arguing_against,127,65,51.2,21,41,0
chouliaraki-2024-91e7fc84f05c,assumes,127,71,55.9,56,0,0
chouliaraki-2024-91e7fc84f05c,citations,127,116,91.3,4,7,0
chouliaraki-2024-91e7fc84f05c,claim,127,109,85.8,18,0,0
chouliaraki-2024-91e7fc84f05c,comparison,127,72,56.7,55,0,0
chouliaraki-2024-91e7fc84f05c,concedes,127,67,52.8,60,0,0
chouliaraki-2024-91e7fc84f05c,defines,127,50,39.4,6,71,0
chouliaraki-2024-91e7fc84f05c,evidence,127,83,65.4,44,0,0
chouliaraki-2024-91e7fc84f05c,mechanism,127,76,59.8,51,0,0
